"id","model_run_batch","task_id","work_no","sale_order_no","order_no","order_need_num","plan_no","work_order_no","batch_no","dispatch_order_no","procedure_id","procedure_code","procedure_name","procedure_content","procedure_order","procedure_plan_preparation_time","procedure_plan_work_time","receive_id","receive_time","receive_name","product_id","product_code","product_name","order_type","task_num","report_num","plan_start_time","plan_end_time","real_start_time","real_end_time","jockey_id","jockey_no","jockey_name","equipment_ids","equipment_speed_range","equipment_unit_process_energy","equipment_unit_idle_energy","work_center_id","work_center_code","work_center_name","line_id","line_code","line_name","remark","del_flag","create_id","create_name","create_time","update_id","update_name","update_time"
"11","20240905","3003","W011","SO003","ORD003","200","P003","WO003","B003","D011","3","103","精加工","工件精密加工","3","15","75","1015","9/3/2024 08:51:00","赵五","1003","PROD003","连接器","2","4","0","10/3/2024 13:00:00","10/3/2024 14:15:00","10/3/2024 13:00:00","10/3/2024 14:15:00","103","J003","刘师傅","3;9;16","1-4","3.8","1.5","1003","WC03","精密加工中心","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"12","20240905","3004","W012","SO003","ORD003","200","P003","WO003","B003","D012","4","106","检验包装","成品检验包装","4","20","30","1018","9/3/2024 09:00:00","周八","1003","PROD003","连接器","2","4","0","10/3/2024 17:00:00","10/3/2024 17:30:00","10/3/2024 17:00:00","10/3/2024 17:30:00","106","J006","郑师傅","6;12","1-2","1","0.5","1006","WC06","检验包装中心","2002","LINE02","生产线2","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"13","20240905","4001","W013","SO004","ORD004","80","P004","WO004","B004","D013","1","101","下料","原材料下料切割","1","30","120","1019","9/3/2024 09:03:00","张三","1004","PROD004","齿轮","2","4","0","11/3/2024 08:30:00","11/3/2024 10:30:00","11/3/2024 08:30:00","11/3/2024 10:30:00","101","J001","李师傅","1;7;15","1-4","5.5","2.1","1001","WC01","机加工中心1","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"14","20240905","4002","W014","SO004","ORD004","80","P004","WO004","B004","D014","2","102","粗加工","工件粗加工成型","2","20","90","1020","9/3/2024 09:06:00","李四","1004","PROD004","齿轮","2","4","0","11/3/2024 11:00:00","11/3/2024 12:30:00","11/3/2024 11:00:00","11/3/2024 12:30:00","102","J002","王师傅","2;8","1-3","4.2","1.8","1002","WC02","机加工中心2","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"15","20240905","4003","W015","SO004","ORD004","80","P004","WO004","B004","D015","3","103","精加工","工件精密加工","3","15","75","1021","9/3/2024 09:09:00","赵五","1004","PROD004","齿轮","2","4","0","11/3/2024 13:00:00","11/3/2024 14:15:00","11/3/2024 13:00:00","11/3/2024 14:15:00","103","J003","刘师傅","3;9;16","1-4","3.8","1.5","1003","WC03","精密加工中心","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"16","20240905","4004","W016","SO004","ORD004","80","P004","WO004","B004","D016","4","106","检验包装","成品检验包装","4","20","30","1024","9/3/2024 09:18:00","周八","1004","PROD004","齿轮","2","4","0","11/3/2024 17:00:00","11/3/2024 17:30:00","11/3/2024 17:00:00","11/3/2024 17:30:00","106","J006","郑师傅","6;12","1-2","1","0.5","1006","WC06","检验包装中心","2002","LINE02","生产线2","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"17","20240905","5001","W017","SO005","ORD005","120","P005","WO005","B005","D017","1","101","下料","原材料下料切割","1","30","120","1025","9/3/2024 09:25:00","张三","1005","PROD005","支架","2","4","0","12/3/2024 08:30:00","12/3/2024 10:30:00","12/3/2024 08:30:00","12/3/2024 10:30:00","101","J001","李师傅","1;7;15","1-4","5.5","2.1","1001","WC01","机加工中心1","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"18","20240905","5002","W018","SO005","ORD005","120","P005","WO005","B005","D018","2","102","粗加工","工件粗加工成型","2","20","90","1026","9/3/2024 09:28:00","李四","1005","PROD005","支架","2","4","0","12/3/2024 11:00:00","12/3/2024 12:30:00","12/3/2024 11:00:00","12/3/2024 12:30:00","102","J002","王师傅","2;8","1-3","4.2","1.8","1002","WC02","机加工中心2","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"19","20240905","5003","W019","SO005","ORD005","120","P005","WO005","B005","D019","3","103","精加工","工件精密加工","3","15","75","1027","9/3/2024 09:31:00","赵五","1005","PROD005","支架","2","4","0","12/3/2024 13:00:00","12/3/2024 14:15:00","12/3/2024 13:00:00","12/3/2024 14:15:00","103","J003","刘师傅","3;9;16","1-4","3.8","1.5","1003","WC03","精密加工中心","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"20","20240905","5004","W020","SO005","ORD005","120","P005","WO005","B005","D020","4","106","检验包装","成品检验包装","4","20","30","1030","9/3/2024 09:40:00","周八","1005","PROD005","支架","2","4","0","12/3/2024 17:00:00","12/3/2024 17:30:00","12/3/2024 17:00:00","12/3/2024 17:30:00","106","J006","郑师傅","6;12","1-2","1","0.5","1006","WC06","检验包装中心","2002","LINE02","生产线2","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
